Date,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years
Jan 1976,6.60,7.08,7.49,7.58,7.56,7.66,7.74
Feb 1976,6.66,7.11,7.50,7.58,7.57,7.71,7.81
Mar 1976,6.83,7.21,7.52,7.57,7.54,7.66,7.76
Apr 1976,6.53,6.93,7.29,7.38,7.40,7.59,7.70
May 1976,7.04,7.36,7.60,7.66,7.68,7.80,7.87
Jun 1976,7.09,7.40,7.61,7.65,7.65,7.79,7.88
Jul 1976,6.87,7.23,7.53,7.59,7.58,7.81,7.95
Aug 1976,6.66,7.03,7.35,7.44,7.50,7.81,7.97
Sep 1976,6.47,6.83,7.16,7.28,7.36,7.69,7.84
Oct 1976,6.09,6.45,6.87,7.07,7.22,7.52,7.64
Nov 1976,5.93,6.30,6.71,6.93,7.12,7.40,7.49
Dec 1976,5.48,5.85,6.29,6.53,6.73,7.01,7.10
Jan 1977,6.01,6.38,6.75,6.89,6.97,7.13,7.20
Feb 1977,6.18,6.54,6.88,7.05,7.20,7.35,7.39
Mar 1977,6.14,6.53,6.94,7.14,7.27,7.42,7.46
Apr 1977,6.00,6.38,6.81,7.04,7.21,7.36,7.39
May 1977,6.28,6.59,6.96,7.17,7.33,7.43,7.43
Jun 1977,6.15,6.42,6.78,7.01,7.19,7.30,7.29
Jul 1977,6.29,6.54,6.85,7.05,7.23,7.36,7.36
Aug 1977,6.65,6.83,7.03,7.17,7.30,7.41,7.42
Sep 1977,6.72,6.87,7.08,7.20,7.27,7.32,7.32
Oct 1977,7.10,7.22,7.38,7.45,7.47,7.43,7.41
Nov 1977,7.13,7.26,7.42,7.49,7.52,7.50,7.48
Dec 1977,7.16,7.33,7.53,7.60,7.62,7.63,7.64
Jan 1978,7.50,7.65,7.82,7.89,7.92,7.89,7.86
Feb 1978,7.55,7.70,7.87,7.95,8.00,7.97,7.94
Mar 1978,7.56,7.72,7.88,7.97,8.02,7.98,7.94
Apr 1978,7.72,7.86,8.01,8.10,8.16,8.10,8.04
May 1978,7.99,8.08,8.20,8.29,8.35,8.24,8.15
Jun 1978,8.23,8.29,8.37,8.43,8.48,8.33,8.22
Jul 1978,8.49,8.54,8.60,8.64,8.66,8.48,8.37
Aug 1978,8.30,8.32,8.39,8.42,8.42,8.24,8.14
Sep 1978,8.44,8.40,8.47,8.49,8.43,8.25,8.18
Oct 1978,8.74,8.64,8.71,8.73,8.68,8.48,8.41
Nov 1978,9.39,9.11,8.95,8.89,8.80,8.57,8.48
Dec 1978,9.72,9.42,9.18,9.10,9.02,8.71,8.54
Jan 1979,9.90,9.60,9.33,9.22,9.12,8.78,8.62
Feb 1979,9.58,9.32,9.19,9.15,9.08,8.80,8.66
Mar 1979,9.64,9.39,9.22,9.17,9.12,8.89,8.78
Apr 1979,9.65,9.44,9.25,9.18,9.15,8.98,8.90
May 1979,9.65,9.42,9.22,9.17,9.17,9.10,9.05
Jun 1979,9.11,8.91,8.80,8.82,8.88,8.88,8.86
Jul 1979,9.03,8.85,8.83,8.87,8.90,8.86,8.82
Aug 1979,9.33,9.11,9.04,9.04,9.00,8.85,8.79
Sep 1979,10.01,9.65,9.47,9.42,9.35,9.06,8.93
Oct 1979,11.33,10.90,10.61,10.48,10.33,9.90,9.73
Nov 1979,11.56,11.19,10.90,10.76,10.62,10.26,10.11
Dec 1979,11.08,10.66,10.43,10.38,10.34,10.05,9.91
Jan 1980,11.30,10.97,10.81,10.78,10.74,10.55,10.47
Feb 1980,13.10,12.80,12.46,12.30,12.22,12.19,12.19
Mar 1980,14.78,14.05,13.18,12.80,12.59,12.37,12.29
Apr 1980,12.41,11.89,11.53,11.44,11.40,11.26,11.20
May 1980,9.42,9.52,9.79,9.97,10.11,10.25,10.29
Jun 1980,8.76,9.00,9.22,9.39,9.62,9.95,10.04
Jul 1980,9.14,9.36,9.56,9.74,10.01,10.61,10.78
Aug 1980,10.55,10.69,10.72,10.74,10.86,11.44,11.63
Sep 1980,11.60,11.61,11.47,11.36,11.37,11.90,12.08
Oct 1980,12.08,11.95,11.76,11.65,11.64,12.11,12.28
Nov 1980,13.35,13.04,12.71,12.49,12.39,12.99,13.19
Dec 1980,13.89,13.38,12.91,12.67,12.56,13.01,13.17
Jan 1981,13.03,12.67,12.48,12.34,12.24,12.74,12.93
Feb 1981,13.54,13.29,13.16,12.92,12.74,13.72,13.96
Mar 1981,13.34,13.28,13.14,12.90,12.73,13.57,13.80
Apr 1981,13.85,13.81,13.74,13.45,13.21,14.25,14.49
May 1981,15.15,14.71,14.26,13.88,13.65,14.63,14.84
Jun 1981,14.21,13.87,13.48,13.21,13.08,13.79,14.00
Jul 1981,15.01,14.69,14.34,14.03,13.83,14.45,14.64
Aug 1981,15.95,15.59,15.13,14.75,14.47,14.98,15.15
Sep 1981,16.18,15.95,15.56,15.22,14.99,15.44,15.59
Oct 1981,15.38,15.35,15.13,14.91,14.79,15.23,15.37
Nov 1981,12.95,13.11,13.17,13.11,13.10,13.68,13.86
Dec 1981,13.28,13.45,13.49,13.40,13.38,13.96,14.14
Jan 1982,14.46,14.49,14.43,14.35,14.35,14.80,14.93
Feb 1982,14.62,14.52,14.35,14.20,14.17,14.76,14.92
Mar 1982,13.95,13.92,13.80,13.64,13.54,13.96,14.11
Apr 1982,14.08,14.02,13.83,13.64,13.49,13.77,13.89
May 1982,13.62,13.64,13.56,13.40,13.27,13.57,13.70
Jun 1982,14.22,14.30,14.26,14.08,13.90,14.34,14.50
Jul 1982,13.73,13.87,13.88,13.73,13.57,13.92,14.06
Aug 1982,12.37,12.69,12.82,12.73,12.64,13.05,13.22
Sep 1982,11.83,12.13,12.23,12.11,11.96,12.35,12.52
Oct 1982,10.43,10.80,11.03,10.97,10.87,11.33,11.54
Nov 1982,9.98,10.35,10.66,10.64,10.54,10.95,11.15
Dec 1982,9.80,10.22,10.65,10.69,10.64,11.08,11.28
Jan 1983,9.46,9.91,10.41,10.53,10.56,11.10,11.32
Feb 1983,9.79,10.21,10.62,10.73,10.79,11.36,11.57
Mar 1983,9.72,10.08,10.41,10.49,10.56,11.13,11.33
Apr 1983,9.65,9.98,10.31,10.39,10.45,10.92,11.10
May 1983,9.53,9.88,10.24,10.35,10.43,10.89,11.07
Jun 1983,10.17,10.48,10.79,10.86,10.91,11.36,11.54
Jul 1983,10.66,10.99,11.33,11.40,11.42,11.82,11.97
Aug 1983,11.04,11.37,11.70,11.76,11.76,12.18,12.35
Sep 1983,10.79,11.16,11.49,11.55,11.56,12.01,12.18
Oct 1983,10.54,10.94,11.32,11.42,11.47,11.90,12.06
Nov 1983,10.62,11.03,11.43,11.53,11.59,12.00,12.15
Dec 1983,10.80,11.18,11.57,11.67,11.71,12.12,12.27
Jan 1984,10.65,11.02,11.41,11.51,11.56,11.94,12.08
Feb 1984,10.74,11.11,11.52,11.63,11.67,12.10,12.26
Mar 1984,11.24,11.60,12.02,12.13,12.17,12.57,12.72
Apr 1984,11.61,11.96,12.34,12.45,12.49,12.83,12.95
May 1984,12.32,12.70,13.10,13.20,13.24,13.59,13.72
Jun 1984,12.79,13.13,13.39,13.42,13.43,13.75,13.86
Jul 1984,12.73,13.01,13.19,13.22,13.25,13.57,13.67
Aug 1984,12.32,12.50,12.61,12.60,12.62,12.91,13.02
Sep 1984,12.16,12.34,12.46,12.44,12.40,12.61,12.71
Oct 1984,11.59,11.83,12.03,12.04,12.02,12.26,12.37
Nov 1984,10.66,11.02,11.34,11.43,11.48,11.87,12.01
Dec 1984,10.25,10.71,11.19,11.35,11.44,11.82,11.96
Jan 1985,10.03,10.54,11.05,11.23,11.35,11.78,11.93
Feb 1985,10.21,10.70,11.18,11.35,11.46,11.90,12.06
Mar 1985,10.74,11.17,11.58,11.71,11.81,12.27,12.42
Apr 1985,10.12,10.59,11.06,11.24,11.40,11.89,12.05
May 1985,9.43,9.91,10.42,10.64,10.84,11.43,11.61
Jun 1985,8.73,9.25,9.81,10.03,10.20,10.85,11.06
Jul 1985,8.83,9.37,9.94,10.18,10.37,10.97,11.17
Aug 1985,8.99,9.49,10.01,10.24,10.44,11.07,11.27
Sep 1985,8.98,9.48,10.01,10.25,10.48,11.13,11.33
Oct 1985,8.90,9.38,9.89,10.13,10.35,11.02,11.23
Nov 1985,8.60,9.00,9.46,9.68,9.91,10.49,10.68
Dec 1985,8.24,8.56,8.96,9.17,9.38,9.96,10.09
Jan 1986,8.26,8.55,8.91,9.09,9.29,9.87,9.99
Feb 1986,8.03,8.26,8.55,8.69,8.83,9.44,9.44
Mar 1986,7.36,7.54,7.74,7.82,7.88,8.51,8.44
Apr 1986,6.90,7.11,7.32,7.38,7.41,7.89,7.86
May 1986,7.30,7.59,7.81,7.86,7.89,8.36,8.29
Jun 1986,7.43,7.73,7.95,8.02,8.08,8.61,8.56
Jul 1986,6.90,7.18,7.42,7.53,7.65,8.21,8.19
Aug 1986,6.49,6.78,7.08,7.26,7.46,8.07,8.05
Sep 1986,6.50,6.88,7.25,7.48,7.74,8.48,8.42
Oct 1986,6.37,6.73,7.15,7.40,7.68,8.43,8.38
Nov 1986,6.32,6.62,6.99,7.23,7.48,8.20,8.13
Dec 1986,6.34,6.56,6.83,7.04,7.31,8.06,7.95
Jan 1987,6.31,6.54,6.81,7.01,7.24,7.96,7.88
Feb 1987,6.48,6.68,6.92,7.12,7.36,8.02,7.96
Mar 1987,6.49,6.68,6.91,7.10,7.33,7.93,7.89
Apr 1987,7.14,7.40,7.67,7.86,8.09,8.57,8.60
May 1987,7.84,8.12,8.31,8.47,8.70,9.00,9.05
Jun 1987,7.63,7.89,8.09,8.27,8.51,8.82,8.85
Jul 1987,7.46,7.78,8.06,8.27,8.52,8.94,8.91
Aug 1987,7.77,8.08,8.33,8.56,8.84,9.18,9.19
Sep 1987,8.44,8.71,8.94,9.20,9.54,9.72,9.83
Oct 1987,8.57,8.86,9.11,9.35,9.65,9.71,9.87
Nov 1987,7.82,8.14,8.46,8.70,8.96,9.15,9.20
Dec 1987,7.95,8.23,8.54,8.80,9.10,9.29,9.35
Jan 1988,7.70,7.94,8.22,8.47,8.76,9.02,9.05
Feb 1988,7.24,7.46,7.74,8.00,8.30,8.62,8.63
Mar 1988,7.34,7.58,7.88,8.15,8.47,8.82,8.83
Apr 1988,7.65,7.90,8.21,8.48,8.80,9.09,9.16
May 1988,8.06,8.29,8.56,8.83,9.16,9.37,9.49
Jun 1988,8.10,8.27,8.48,8.71,9.00,9.15,9.32
Jul 1988,8.33,8.47,8.63,8.85,9.17,9.28,9.51
Aug 1988,8.68,8.77,8.89,9.08,9.37,9.35,9.64
Sep 1988,8.52,8.57,8.67,8.85,9.10,9.09,9.34
Oct 1988,8.39,8.41,8.50,8.67,8.90,8.94,9.17
Nov 1988,8.71,8.70,8.74,8.88,9.08,9.01,9.26
Dec 1988,9.13,9.07,9.06,9.12,9.22,8.96,9.25
Jan 1989,9.22,9.15,9.12,9.15,9.20,8.89,9.18
Feb 1989,9.41,9.31,9.23,9.24,9.30,8.95,9.26
Mar 1989,9.75,9.62,9.49,9.46,9.47,9.13,9.41
Apr 1989,9.52,9.39,9.29,9.29,9.33,8.99,9.29
May 1989,9.07,8.95,8.92,8.94,8.99,8.80,9.06
Jun 1989,8.44,8.33,8.34,8.38,8.42,8.32,8.50
Jul 1989,7.89,7.81,7.89,8.01,8.14,8.15,8.29
Aug 1989,8.18,8.11,8.10,8.15,8.22,8.21,8.34
Sep 1989,8.28,8.24,8.23,8.25,8.28,8.30,8.36
Oct 1989,8.05,8.03,8.06,8.09,8.12,8.15,8.20
Nov 1989,7.84,7.83,7.87,7.93,8.00,8.00,8.08
Dec 1989,7.83,7.81,7.84,7.90,7.98,8.00,8.07
Jan 1990,8.13,8.15,8.20,8.27,8.36,8.33,8.45
Feb 1990,8.37,8.43,8.48,8.54,8.64,8.60,8.72
Mar 1990,8.60,8.65,8.65,8.68,8.73,8.66,8.80
Apr 1990,8.71,8.79,8.81,8.84,8.90,8.84,8.98
May 1990,8.61,8.69,8.75,8.81,8.89,8.79,8.96
Jun 1990,8.34,8.41,8.47,8.53,8.61,8.53,8.67
Jul 1990,8.20,8.28,8.38,8.47,8.59,8.58,8.70
Aug 1990,8.12,8.26,8.46,8.65,8.86,8.95,9.03
Sep 1990,8.13,8.30,8.57,8.78,8.97,9.12,9.19
Oct 1990,7.93,8.09,8.37,8.59,8.80,8.91,9.03
Nov 1990,7.67,7.81,8.05,8.24,8.46,8.61,8.70
Dec 1990,7.41,7.55,7.78,7.97,8.16,8.29,8.41
Jan 1991,7.22,7.44,7.75,7.97,8.18,8.33,8.46
Feb 1991,6.91,7.16,7.49,7.73,7.96,8.12,8.23
Mar 1991,7.15,7.46,7.80,8.01,8.22,8.39,8.50
